2024-11-28 01:07:05 INFO  c.l.s.managers.MicroserviceManager - All microservices shut down.
2024-11-28 21:41:12 INFO  com.louisfiges.simulator.Main - Starting Main using Java 23 with PID 99988 (C:\Users\louis\Desktop\Advanced Programming\Simulator\build\classes\java\main started by louis in C:\Users\louis\Desktop\Advanced Programming\Simulator)
2024-11-28 21:41:12 INFO  com.louisfiges.simulator.Main - No active profile set, falling back to 1 default profile: "default"
2024-11-28 21:41:12 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8087 (http)
2024-11-28 21:41:12 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8087"]
2024-11-28 21:41:12 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-11-28 21:41:12 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.30]
2024-11-28 21:41:12 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-11-28 21:41:12 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 491 ms
2024-11-28 21:41:12 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8087"]
2024-11-28 21:41:12 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8087 (http) with context path '/'
2024-11-28 21:41:12 INFO  com.louisfiges.simulator.Main - Started Main in 1.041 seconds (process running for 1.395)
2024-11-28 21:41:13 INFO  c.l.s.managers.MicroserviceManager - Starting ApiGatewayApplication microservice with profile: 
2024-11-28 21:41:13 INFO  c.l.s.managers.MicroserviceManager - Starting ProviderApplication microservice with profile: --spring.profiles.active=providerA
2024-11-28 21:41:13 INFO  c.l.s.managers.MicroserviceManager - Starting ProviderApplication microservice with profile: --spring.profiles.active=providerB
2024-11-28 21:41:13 INFO  c.l.s.managers.MicroserviceManager - Starting ProviderApplication microservice with profile: --spring.profiles.active=providerC
2024-11-28 21:41:21 INFO  c.l.s.managers.MicroserviceManager - 2024-11-28T21:41:21.856Z  INFO 72024 --- [API Gateway] [           main] c.l.gateway.ApiGatewayApplication        : Started ApiGatewayApplication in 7.738 seconds (process running for 8.419)
